CASEID	COUNTY	PUBLIC_WATER_SUPPLY	POPULATION_SERVED	SAMPLING_DATE	SAMPLE_NUMBER	RAW_OR_TREATED	PFOA_PFOS_PPT	TOTAL_TESTED_PFAS_PPT	METHOD
14	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806040940EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
15	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806041140EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
16	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806041050EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
17	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151215KER	Treated Drinking Water	19	72	EPA 537 Rev. 1.1
18	OAKLAND	South Bloomfield Highlands	621	14-JUN-2018	GW1806140950EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
19	OAKLAND	South Bloomfield Highlands	621	14-JUN-2018	GW1806141005EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
20	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151425KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
21	OAKLAND	Southwest Oakland Township	6128	11-JUN-2018	GW1806111210EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
22	OAKLAND	Southeast Oakland Township	2298	11-JUN-2018	GW1806111005EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
23	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151145KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
24	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151230KER	Treated Drinking Water	18	69	EPA 537 Rev. 1.1
25	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151050KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
26	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151355KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
27	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151540KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
28	OAKLAND	Southeast Oakland Township	2298	11-JUN-2018	GW1806111050EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
29	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151525KER	Treated Drinking Water	ND	3	EPA 537 Rev. 1.1
30	OAKLAND	Southwest Oakland Township	6128	11-JUN-2018	GW1806111225EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
31	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151030KER	Treated Drinking Water	2	6	EPA 537 Rev. 1.1
32	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151245KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
33	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151440	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
34	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151120KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
35	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151510KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
36	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151300KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
37	OAKLAND	Southwest Oakland Township	6128	11-JUN-2018	GW1806111125EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
38	OAKLAND	Southeast Oakland Township	2298	11-JUN-2018	GW1806111025EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
39	KALAMAZOO	Kalamazoo	196292	15-JUN-2018	GWEF1806151455KER	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
40	OAKLAND	Southeast Oakland Township	2298	11-JUN-2018	GW1806111105EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
41	OAKLAND	Southwest Oakland Township	6128	11-JUN-2018	GW1806111200EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
42	OAKLAND	Southwest Oakland Township	6128	11-JUN-2018	GW1806111145EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
43	OAKLAND	Chateau View Apartments	75	08-JUN-2018	GW1806081145EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
44	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061530EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
45	OAKLAND	Highland Greens Estates	2268	05-JUN-2018	GW1806051320EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
46	OAKLAND	Briarcliff Homeowners Assn	483	13-JUN-2018	GW1806130905EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
47	OAKLAND	Lake Angela Condo Apts #3	24	12-JUN-2018	GW1806121220EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
48	OAKLAND	Oxford Township	10753	11-JUN-2018	GW1806111255EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
49	ALLEGAN	Country Acres Mobile Home Park	160	06-JUN-2018	GW1806061420KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
50	OAKLAND	Oxford Township	10753	11-JUN-2018	GW1806111310EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
51	KALAMAZOO	Charleston Township	30	13-JUN-2018	GWEF1806131415KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
52	ALLEGAN	Country Meadows	158	12-JUN-2018	GWT1806121325GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
53	OAKLAND	Groveland Manor	465	08-JUN-2018	GW1806081135EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
54	OAKLAND	Villa at Green Lake Estates	86	12-JUN-2018	GW1806121040EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
55	OAKLAND	Deerwood Subdivision	1946	04-JUN-2018	GW1806041250EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
56	ALLEGAN	Lakeside Park MHP	65	13-JUN-2018	GWINT1806131115KET	Raw Water	ND	ND	EPA 537 Rev. 1.1
57	ALLEGAN	Sandy Pines	85	06-JUN-2018	GW1806061210KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
58	ALLEGAN	Indian Acres Mobile Home Park	88	12-JUN-2018	GWT1806121010KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
59	KALAMAZOO	Vicksburg	2906	19-JUN-2018	GWNT1806191300KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
60	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061340EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
61	ALLEGAN	Riverwalk Development	38	06-JUN-2018	GW1806061255KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
62	KALAMAZOO	Vicksburg	2906	19-JUN-2018	GWNT1806191245KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
63	ALLEGAN	Dogwood Manor Mobile Home Park	190	05-JUN-2018	GW1806051120GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
64	OAKLAND	Oakland Hunt Subdivision	461	11-JUN-2018	GW1806110915EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
65	KALAMAZOO	Royal Estates	380	18-JUN-2018	GWNT1806181305KER	Raw Water	ND	3	EPA 537 Rev. 1.1
66	ALLEGAN	Walnut Lane Apartments	50	13-JUN-2018	GWR1806130820KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
67	KALAMAZOO	Climax Mobile Home Park	198	14-JUN-2018	GWT1806141355GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
68	OAKLAND	Lake Angela Condo Apts #6	24	12-JUN-2018	GW1806121140EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
69	BARRY	Barry's Resort	125	13-JUN-2018	GWT1806131520GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
70	ALLEGAN	Riverside Estates	100	05-JUN-2018	GW1806051035GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
71	KENT	Caledonia Township	3563	31-MAY-2018	GW1805311500GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
72	OAKLAND	Hidden Lake Estates	673	18-JUN-2018	GW1806181020EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
73	KALAMAZOO	Portage Terrace	202	12-JUN-2018	GWEF1806121405KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
74	ALLEGAN	Oak Lane Apartments	60	13-JUN-2018	GWR1806131025KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
75	ALLEGAN	Riverside Estates	100	05-JUN-2018	GW1806051040GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
76	OAKLAND	Oxford, Village of	3540	18-JUN-2018	GW1806181000EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
77	OAKLAND	Ridge Valley of Milford	220	18-JUN-2018	GW1806180755EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
78	OAKLAND	Laguna Vista Subdivision	640	15-JUN-2018	GW1806151000EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
79	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061415EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
80	KENT	Key Heights Mobile Village	715	01-JUN-2018	GW1806011030EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
81	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061550EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
82	CALHOUN	Hickory Hills	708	22-JUN-2018	GWEF1806220900KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
83	KALAMAZOO	Royal Estates	380	18-JUN-2018	GWNT1806181315KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
84	BARRY	Guernsey Lake Mobile Home	100	12-JUN-2018	GWT1806121130GSC	Raw Water	ND	8	EPA 537 Rev. 1.1
85	KALAMAZOO	Augusta	885	13-JUN-2018	GWEF1806131435KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
86	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061400EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
87	OAKLAND	Sunnydale Gardens Subdivision	190	12-JUN-2018	GW1806120930EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
88	OAKLAND	Oxford Township	10753	11-JUN-2018	GW1806111320EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
89	KENT	Plainfield Township	40891	30-MAY-2018	GW1805301040GSC	Treated Drinking Water	8	22	EPA 537 Rev. 1.1
90	BARRY	Woodland Park Apartments	16	12-JUN-2018	GWR1806121110KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
91	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061450EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
92	KALAMAZOO	Kellogg Biological Station	100	19-JUN-2018	GWEF1806191100KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
93	OAKLAND	Highland Greens Estates	2268	05-JUN-2018	GW180651315EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
94	OAKLAND	Lyon Township	9390	12-JUN-2018	GW1806121240EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
95	ALLEGAN	Homecrest Villa Mobile Home Park	100	05-JUN-2018	GW1806051320GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
96	KALAMAZOO	Evergreen Park	190	18-JUN-2018	GWNT1806180900KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
97	KALAMAZOO	Schoolcraft	1525	18-JUN-2018	GWEF1806180950KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
98	OAKLAND	Franklin Knolls Subdivision	500	13-JUN-2018	GW1806130945EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
99	OAKLAND	Holly Hills MHC	435	08-JUN-2018	GW1806081015EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
100	BARRY	Baltimore Terrace	155	13-JUN-2018	GWR1806131100GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
101	KALAMAZOO	Sun Meadows Apartments	98	12-JUN-2018	GWNT1806121440KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
102	ALLEGAN	Glennwoods Subdivision	77	08-JUN-2018	GW1806081115KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
103	OAKLAND	Lake Angela Condo Apts #5	24	12-JUN-2018	GW1806121155EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
104	OAKLAND	Twin Lakes Subdivision	563	11-JUN-2018	GW1806110830EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
105	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061510EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
106	OAKLAND	Lyon Township	9390	12-JUN-2018	GW1806121305EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
107	OAKLAND	Rose Hill Center	70	08-JUN-2018	GW1806080935EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
108	ALLEGAN	Sapphire Estates Mobile Home Park	138	13-JUN-2018	GW1806130920KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
109	OAKLAND	Cass Lakeside Subdivision	700	05-JUN-2018	GW1806050950EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
110	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061351EDK	Treated Drinking Water	ND	4	EPA 537 Rev. 1.1
111	ALLEGAN	Lakeside Park MHP	65	13-JUN-2018	GWINT1806131110KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
112	OAKLAND	Milford, Village of	6366	14-JUN-2018	GW1806141530EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
113	KALAMAZOO	Nazarene Camp	610	19-JUN-2018	GWEF1806191345KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
114	OAKLAND	Highland Haven/Woodside Apts	40	18-JUN-2018	GW1806180815EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
115	OAKLAND	Wynstone Subdivision	736	11-JUN-2018	GW1806110900EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
116	OAKLAND	Deerwood Subdivision	1946	04-JUN-2018	GW1806041235EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
117	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061420EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
118	OAKLAND	Deerwood Subdivision	1946	04-JUN-2018	GW1806041305EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
119	OAKLAND	Highland Haven/Woodside Apts	40	18-JUN-2018	GW1806180830EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
120	BARRY	Barry's Resort	125	13-JUN-2018	GWT1806131535GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
121	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061610EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
122	ALLEGAN	Topaz Mobile Home Park	115	13-JUN-2018	GWEF1806130945KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
123	OAKLAND	Lake Angela Condo Apts #4	24	12-JUN-2018	GW1806121205EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
124	ALLEGAN	Walnut Lane Apartments	50	13-JUN-2018	GW41806130815KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
125	OAKLAND	Plum Creek Sub	134	11-JUN-2018	GW1806110935EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
126	KENT	Caledonia Township	3563	31-MAY-2018	GW1805311445GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
127	KALAMAZOO	Climax	767	13-JUN-2018	GWEF1806131320KER	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
128	OAKLAND	Long Lake Village Subdivision	67	08-JUN-2018	GW180681105EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
129	OAKLAND	Waterford Township	73441	06-JUN-2018	GW1806061325EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
130	KALAMAZOO	Andrews Estates	178	18-JUN-2018	GWNT1806181130KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
131	KENT	Lake Bella Vista	3444	17-APR-2018	GW1804170930GSC	Treated Drinking Water	2	2	EPA 537 Rev. 1.1
132	OAKLAND	Lakeshore Hilltop Apartments	82	20-JUN-2018	GW1806201125EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
133	KENT	Parkwood Green	270	18-APR-2018	GW1804181430CKA	Raw Water	ND	ND	EPA 537 Rev. 1.1
134	OAKLAND	Highland Hills of Highland MHC	260	19-JUN-2018	GWEF1806190840EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
135	KENT	Glenwood Estates	585	11-JUN-2018	GWR1806110910KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
136	ALLEGAN	Shady Acres Mobile Village	130	05-JUN-2018	GW1806051530KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
137	ALLEGAN	Riverview Mobile Home Park	125	06-JUN-2018	GW1806061505KER	Raw Water	ND	3	EPA 537 Rev. 1.1
138	KENT	Kent Ridge Apartments	120	18-APR-2018	GW1804180915CKA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
139	KENT	Wellers Trailer Park	52	31-MAY-2018	GW1805311100EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
140	KENT	Algoma Estates	580	19-APR-2018	GW1804191100CKA	Treated Drinking Water	2	5	EPA 537 Rev. 1.1
141	KENT	Cedarfield Mobile Home Park	480	29-MAY-2018	GW1805291500EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
142	KENT	Lakeside Mobile Home Community	168	01-JUN-2018	GW1806011125GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
143	OAKLAND	North Shore Apartments	20	07-JUN-2018	GW1806071125EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
144	OAKLAND	Oak Hill Estates MHC	1260	08-JUN-2018	GW1806081035EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
145	KENT	Lincoln Pines	390	30-MAY-2018	GW1805301205GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
146	ALLEGAN	Rabbit River Estates	255	07-JUN-2018	GW1806071420KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
147	KENT	Rockford	6517	16-APR-2018	GW1804161320GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
148	OAKLAND	West Hickory Haven	100	07-JUN-2018	GW1806071155EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
149	OAKLAND	Brookdale Apartments	100	15-JUN-2018	GW18061511110EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
150	KENT	White Creek Country Estates	443	16-APR-2018	GW1804161020JNR	Raw Water	ND	ND	EPA 537 Rev. 1.1
151	OAKLAND	Highland Township	3472	14-JUN-2018	GW1806141230EDK-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
152	ALLEGAN	Shangrai-La Village	165	12-JUN-2018	GWEF1806120850GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
153	ALLEGAN	Oak Haven	30	06-JUN-2018	GW1806061030KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
154	ALLEGAN	Maple Grove Estates	115	07-JUN-2018	GW1806071340KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
155	CALHOUN	Homer	1668	26-JUN-2018	GWEF1806260950GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
156	OAKLAND	Bavarian Softwater Village	420	14-JUN-2018	GW1806141405EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
157	BARRY	Gun Lake Mobile Home Community	148	13-JUN-2018	GWEF1806130900GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
158	ALLEGAN	Glenn Haven Shores	72	08-JUN-2018	GW1806081330KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
159	KENT	Key Heights Mobile Village	715	01-JUN-2018	GW1806011000EDK-FD	Treated Drinking Water	ND	2	EPA 537 Rev. 1.1
160	OAKLAND	Lakeshore Hilltop Apartments	82	20-JUN-2018	GW1806201135EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
161	KENT	Caledonia Estates	160	31-MAY-2018	GW1805311330EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
162	ALLEGAN	Johnsons Mobile Village	188	08-JUN-2018	GW1806080930KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
163	KENT	Green Acres Mobile Home Park	135	11-JUN-2018	GWEF1806111120KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
164	OAKLAND	Lakeview Chalet Condominiums	50	07-JUN-2018	GW1806071105EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
165	OAKLAND	Lakeshore Hilltop Apartments	82	20-JUN-2018	GW1806201115EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
166	ALLEGAN	Hunters Glen	700	13-JUN-2018	GWEF1806130845KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
167	KENT	Lowell	3890	19-APR-2018	GW1804190905CKA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
168	KENT	Oaks of Rockford	80	19-APR-2018	GW1804191120CKA	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
169	ALLEGAN	Johnsons Mobile Village	188	08-JUN-2018	GW1806080920KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
170	KENT	Cedar Springs	3520	29-MAY-2018	GW1805291400EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
171	OAKLAND	Independence Township	11790	04-JUN-2018	GW1806041015EDK-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
172	ALLEGAN	Oak Haven	30	06-JUN-2018	GW1806061010KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
173	OAKLAND	Counrty Estates MHP	600	15-JUN-2018	GWEF1806151215EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
174	ALLEGAN	Selkirk Lake Mobile Home Park	62	13-JUN-2018	GWT1806131050KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
175	OAKLAND	Hillview Estates Subdivision	371	04-JUN-2018	GW1806041205EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
176	OAKLAND	Manitou Lake Apartments	75	20-JUN-2018	GWNT1806201330EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
177	OAKLAND	Woodbine Subdivision	448	06-JUN-2018	GW180606935EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
178	KENT	Tillicum Farms	216	17-APR-2018	GW1804171110GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
179	ALLEGAN	Rabbit River Estates	255	07-JUN-2018	GW1806071400KER	Raw Water	ND	ND	EPA 537 Rev. 1.1
180	KENT	Woodland Estates	268	16-APR-2018	GW1804161400GSC	Raw Water	ND	6	EPA 537 Rev. 1.1
181	OAKLAND	Highland Township	3472	14-JUN-2018	GW1806141305EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
182	KENT	Apple Grove Estates	125	29-MAY-2018	GW1805291305EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
183	OAKLAND	Highland Township	3472	14-JUN-2018	GW1806141225EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
184	OAKLAND	Sue Kay Apartments	50	05-JUN-2018	GW180605900EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
185	OAKLAND	Meadow Lake Estates MHC	1060	18-JUN-2018	GW1806180845	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
186	BARRY	Gun Lake Mobile Home Community	148	13-JUN-2018	GWEF1806130920GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
187	CALHOUN	Marshall	7088	20-JUN-2018	GWEF1806201045KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
188	KENT	Gregg Apartments	64	31-MAY-2018	GW1805311520GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
189	OAKLAND	Twin Lakes Subdivision	563	11-JUN-2018	GW1806110835EDK-FD	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
190	BARRY	Thornapple Lake Estates	538	13-JUN-2018	GWT1806131340GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
191	KENT	Parkwood Green	270	18-APR-2018	GW1804181415CKA	Raw Water	3	5	EPA 537 Rev. 1.1
192	KENT	Lincoln Pines	390	30-MAY-2018	GW1805301245GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
193	OAKLAND	White Eagle Subdivision	58	14-JUN-2018	GW1806141120EDK	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
194	BARRY	Thornapple Manor	328	13-JUN-2018	GWEF1806131300GSC	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
195	OAKLAND	Penny Lake Estates Subdivision	390	15-JUN-2018	GW1806151015EDK	Raw Water	ND	ND	EPA 537 Rev. 1.1
196	EATON	Bellevue, Village of	1282	21-JUN-2018	GWEF1806211300KER	Treated Drinking Water	ND	ND	EPA 537 Rev. 1.1
197	KENT	Summerset Meadows	100	17-APR-2018	GW1804171125GSC	Raw Water	ND	ND	EPA 537 Rev. 1.1
